CustomerID,Lookalikes
C0001,"[('C0070', 0.1293), ('C0137', 0.2206), ('C0191', 0.2636)]"
C0002,"[('C0029', 0.0449), ('C0157', 0.1826), ('C0172', 0.1867)]"
C0003,"[('C0038', 0.1789), ('C0072', 0.2933), ('C0190', 0.3818)]"
C0004,"[('C0068', 0.432), ('C0113', 0.4432), ('C0041', 0.4771)]"
C0005,"[('C0061', 0.1728), ('C0192', 0.1825), ('C0167', 0.2251)]"
C0006,"[('C0079', 0.3863), ('C0048', 0.3989), ('C0026', 0.4377)]"
C0007,"[('C0085', 0.1634), ('C0089', 0.188), ('C0146', 0.1929)]"
C0008,"[('C0084', 0.1534), ('C0017', 0.3196), ('C0039', 0.3859)]"
C0009,"[('C0020', 0.1251), ('C0128', 0.1346), ('C0130', 0.2309)]"
C0010,"[('C0094', 0.5769), ('C0142', 0.6585), ('C0176', 0.6788)]"
C0011,"[('C0139', 0.1425), ('C0064', 0.1717), ('C0024', 0.1892)]"
C0012,"[('C0093', 0.0458), ('C0101', 0.2391), ('C0053', 0.2991)]"
C0013,"[('C0114', 0.183), ('C0148', 0.3619), ('C0051', 0.3768)]"
C0014,"[('C0097', 0.367), ('C0032', 0.6151), ('C0083', 0.6352)]"
C0015,"[('C0080', 0.3401), ('C0020', 0.7255), ('C0128', 0.7516)]"
C0016,"[('C0040', 0.1006), ('C0158', 0.2473), ('C0066', 0.2603)]"
C0017,"[('C0113', 0.1811), ('C0084', 0.2405), ('C0008', 0.3196)]"
C0018,"[('C0053', 0.2926), ('C0153', 0.2977), ('C0182', 0.3104)]"
C0019,"[('C0166', 0.1564), ('C0031', 0.2093), ('C0088', 0.2123)]"
C0020,"[('C0128', 0.082), ('C0009', 0.1251), ('C0130', 0.2587)]"
